Checkpoints/Tests,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
TCB,0.9374433755874634,0.9648087620735168,0.9350934028625488,0.9804673790931702,0.973080039024353,0.9884716272354126,0.9652655124664307,0.9561735391616821,0.9760913848876953,0.9203461408615112,0.9956957101821899,0.9584280848503113,0.9639174938201904,0.9802407026290894,0.9813182950019836,0.9430458545684814,0.9745973348617554,0.9603660106658936,0.9522849321365356,0.9843168258666992,0.9674672484397888,0.9651740789413452,0.9005458354949951,0.9742014408111572,0.9348897337913513,0.978105902671814,0.9652438759803772,0.9675561189651489,0.9327434301376343,0.9803898334503174
TPB,0.934837818145752,0.9647217392921448,0.9341309070587158,0.9808151721954346,0.9733108282089233,0.9881581664085388,0.9660731554031372,0.9566434025764465,0.975155770778656,0.9223145246505737,0.9955782890319824,0.9574770331382751,0.9641629457473755,0.9805065393447876,0.9814937114715576,0.9452129602432251,0.9748361110687256,0.9618067145347595,0.9532029628753662,0.9839888215065002,0.966880202293396,0.9663118124008179,0.8968325853347778,0.9756500720977783,0.9349485635757446,0.9795576930046082,0.9646681547164917,0.9672958254814148,0.9329177737236023,0.9844032526016235
VCB,0.9360457062721252,0.9653376936912537,0.9356809258460999,0.9811703562736511,0.9737721681594849,0.9875802397727966,0.9658879637718201,0.9560364484786987,0.9749011993408203,0.9215596914291382,0.9953945875167847,0.9571532607078552,0.9651749134063721,0.9804552793502808,0.9818452596664429,0.9413301944732666,0.9740416407585144,0.9628857374191284,0.9530203342437744,0.9842931032180786,0.9671852588653564,0.9667617082595825,0.9049974679946899,0.9752559661865234,0.9360146522521973,0.9762256145477295,0.9675911068916321,0.9694169759750366,0.933522641658783,0.9815073013305664
VHM,0.9086982011795044,0.9590057730674744,0.9229408502578735,0.9812251925468445,0.9693694710731506,0.9804608821868896,0.9654810428619385,0.9523606300354004,0.9678228497505188,0.907760500907898,0.9926884770393372,0.9471508860588074,0.9621656537055969,0.978844165802002,0.9817098379135132,0.9297417998313904,0.9715348482131958,0.9621978998184204,0.9425756335258484,0.9806957244873047,0.9625506401062012,0.9611526727676392,0.8749140501022339,0.9735193252563477,0.9149025678634644,0.970183253288269,0.9659307599067688,0.9668583869934082,0.919903039932251,0.9753005504608154
VIB,0.9357113838195801,0.9656221866607666,0.93309485912323,0.9805736541748047,0.9723879098892212,0.9874600172042847,0.9654674530029297,0.95582515001297,0.9748104810714722,0.9206770658493042,0.9955370426177979,0.9576607942581177,0.9636471271514893,0.9806597828865051,0.9809083938598633,0.9407358169555664,0.9745834469795227,0.9600111246109009,0.9523451328277588,0.9837804436683655,0.9671663045883179,0.9655347466468811,0.8956605195999146,0.9730856418609619,0.934826135635376,0.9776981472969055,0.9628373980522156,0.9657795429229736,0.9330281019210815,0.9814095497131348
VIC,0.8177621960639954,0.9655163288116455,0.838374137878418,0.9806339740753174,0.9529750943183899,0.918386697769165,0.9664936661720276,0.952045738697052,0.9037463665008545,0.920659601688385,0.9661582708358765,0.9128133058547974,0.9644855260848999,0.9799519777297974,0.9817483425140381,0.9479640126228333,0.9736150503158569,0.9622002243995667,0.9514776468276978,0.9773325324058533,0.9611749649047852,0.9664081931114197,0.8089458346366882,0.9762814044952393,0.9362767338752747,0.980461597442627,0.9669995307922363,0.9680219888687134,0.9329777956008911,0.9855572581291199
VJC,0.9225770831108093,0.9655807018280029,0.9293942451477051,0.9812816381454468,0.9707462787628174,0.9799697995185852,0.965950608253479,0.9550149440765381,0.9692782163619995,0.9121399521827698,0.9921087622642517,0.9517134428024292,0.9645454287528992,0.9799268245697021,0.9819929003715515,0.9440694451332092,0.9732793569564819,0.9617658853530884,0.9488550424575806,0.9831168055534363,0.9661076068878174,0.9648246765136719,0.9037752151489258,0.976185142993927,0.9298794269561768,0.9802749752998352,0.9672520160675049,0.9684473276138306,0.924979567527771,0.9844568371772766
VNM,0.9260817766189575,0.9632085561752319,0.931035578250885,0.9810395240783691,0.9723283052444458,0.9825998544692993,0.9663740396499634,0.9561940431594849,0.9706257581710815,0.9196919202804565,0.992953896522522,0.9544856548309326,0.9644149541854858,0.9803295731544495,0.9818564653396606,0.9321325421333313,0.9746315479278564,0.9620550870895386,0.9509280323982239,0.9832331538200378,0.9665353298187256,0.9653911590576172,0.8939029574394226,0.9740096926689148,0.9295499920845032,0.971455454826355,0.9664315581321716,0.9687832593917847,0.9322863817214966,0.9747426509857178
VPB,0.8440187573432922,0.9649521112442017,0.8666229844093323,0.9808091521263123,0.9585849642753601,0.9348597526550293,0.9658044576644897,0.9517309069633484,0.9274865388870239,0.9219546318054199,0.9729552268981934,0.9241713881492615,0.9644306302070618,0.9800151586532593,0.981101393699646,0.9441303014755249,0.9755600094795227,0.9619854092597961,0.9500693082809448,0.978249192237854,0.9612737894058228,0.9642459154129028,0.8237365484237671,0.9755532145500183,0.9341022968292236,0.9796767234802246,0.9641169905662537,0.9665042757987976,0.9335845708847046,0.9842352271080017
VRE,0.9244938492774963,0.9642236232757568,0.9347139000892639,0.9808814525604248,0.9699852466583252,0.9846241474151611,0.9663915038108826,0.9529803991317749,0.9717463254928589,0.9024853110313416,0.9938786029815674,0.9520521759986877,0.9652540683746338,0.9780767560005188,0.9818029403686523,0.8914772272109985,0.9722154140472412,0.9621785879135132,0.9386621713638306,0.982012152671814,0.9630346298217773,0.9606418609619141,0.9057531356811523,0.9685638546943665,0.9129015803337097,0.9590672850608826,0.9647727608680725,0.9677433371543884,0.9190937280654907,0.9788294434547424
