time,open,high,low,close,volume,Up,HighVol,BreakMA5
2023-04-11,15.48,15.82,15.28,15.82,2590794,1,1,1
2023-04-12,16.11,16.35,15.87,15.91,4955606,1,1,1
2023-04-13,15.96,16.01,15.53,15.53,2229457,0,1,0
2023-04-14,15.57,15.62,14.89,14.89,4568242,0,1,0
2023-04-17,14.89,15.09,14.8,14.99,1376296,1,0,0
2023-04-18,15.09,15.18,14.89,15.09,1661235,1,0,0
2023-04-19,15.18,15.23,14.6,14.65,1690681,0,1,0
2023-04-20,14.45,14.89,14.45,14.75,1198876,1,0,0
2023-04-21,14.7,14.94,14.7,14.7,1201899,0,0,0
2023-04-24,14.75,14.89,14.55,14.89,758310,1,0,1
2023-04-25,14.94,15.09,14.65,14.7,1300439,0,0,0
2023-04-26,14.7,14.94,14.6,14.94,1124824,1,0,1
2023-04-27,15.04,15.38,14.94,15.04,2552525,1,0,1
2023-04-28,15.14,15.28,15.09,15.14,1442282,1,0,1
2023-05-04,14.99,15.38,14.99,15.28,2126902,1,0,1
2023-05-05,15.28,15.33,15.04,15.09,1471044,0,0,0
2023-05-08,15.14,15.82,15.14,15.77,4532918,1,1,1
2023-05-09,15.87,16.06,15.72,15.72,3003650,0,0,1
